"name","total","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","critical_cases","population"
"World","260,661,997","+385,427","5,203,809","+4,679","235,534,875","+298,370","19,923,313","82,814",""
"USA","48,999,737","","798,551 ","","38,799,986","","9,401,200","12,259","333,717,757 "
"India","34,555,431","","467,468 ","","33,977,830","+9,868","110,133","8,944","1,398,976,181 "
"Brazil","22,055,608","","613,697 ","","21,275,209","","166,702","8,318","214,672,763 "
"UK","10,070,841","+50,091","144,593 ","+160","8,912,424","+37,459","1,013,824","925","68,384,867 "
"Russia","9,502,879","+34,690","270,292 ","+1,235","8,200,971","+36,145","1,031,616","2,300","146,022,030 "
"Turkey","8,676,639","","75,840 ","","8,208,159","","392,640","1,405","85,607,956 "
"France","7,516,746","","118,777 ","","7,090,160","+9,562","307,809","1,499","65,475,608 "
"Iran","6,102,056","+4,384","129,462 ","+86","5,841,870","+11,217","130,724","3,373","85,495,760 "
"Germany","5,673,622","+50,575","101,054  ","+258","4,775,300","+30,900","797,268","4,070","84,158,769 "
"Argentina","5,322,127","","116,480 ","","5,186,639","","19,008","604","45,775,729 "
"Spain","5,121,100","","87,931 ","","4,912,818","","120,351","571","46,780,120 "
"Colombia","5,057,897","","128,290 ","","4,897,986","","31,621","342","51,641,190 "
"Italy","4,982,022","+13,686","133,537 ","+51","4,675,867","+7,610","172,618","606","60,337,397 "
"Indonesia","4,255,268","+453","143,796 ","+14","4,103,379","+386","8,093","","277,567,698 "
"Mexico","3,876,391","+4,128","293,449 ","+263","3,234,360","+2,298","348,582","4,798","130,826,805 "
"Poland","3,461,066","+26,735","82,607 ","+421","2,955,478","+21,451","422,981","1,687","37,788,599 "
"Ukraine","3,400,340","+15,936","84,149 ","+608","2,877,021","+24,569","439,170","177","43,365,949 "
"South Africa","2,952,500","","89,771 ","","2,843,961","","18,768","546","60,353,996 "
"Philippines","2,830,387","+863","48,017 ","+142","2,764,517","+791","17,853","1,170","111,619,756 "
"Malaysia","2,608,979","","30,195 ","","2,510,029","","68,755","516","32,945,676 "
"Netherlands","2,555,415","+21,278","19,217 ","+59","2,081,708","+7,200","454,490","524","17,187,921 "
"Peru","2,229,741","","200,987 ","","N/A","N/A","N/A","929","33,613,818 "
"Thailand","2,094,886","+6,559","20,643 ","+64","1,993,964","+6,875","80,279","1,595","70,045,042 "
"Czechia","2,089,857","+27,717","32,643 ","+48","1,793,794","+360","263,420","895","10,736,780 "
"Iraq","2,078,521","+856","23,765 ","+17","2,039,612","+1,423","15,144","113","41,482,728 "
"Canada","1,777,814","","29,600 ","","1,725,101","","23,113","480","38,204,927 "
"Romania","1,773,845","+1,958","55,989 ","+115","1,670,101","+6,464","47,755","1,312","19,058,033 "
"Chile","1,754,443","+2,674","38,245 ","+27","1,648,100","+1,667","68,098","671","19,345,681 "
"Japan","1,726,823","+119","18,353 ","+1","1,707,419","+128","1,051","51","125,934,533 "
"Belgium","1,679,861","+20,836","26,793 ","+50","1,295,650","","357,418","659","11,660,187 "
"Bangladesh","1,575,424","+239","27,973 ","+3","1,539,830","+277","7,621","1,538","166,983,646 "
"Israel","1,341,305","","8,182 ","","1,327,046","","6,077","128","9,326,000 "
"Pakistan","1,283,475","+252","28,697 ","+7","1,241,289","+294","13,489","958","226,883,280 "
"Serbia","1,246,508","+2,339","11,484 ","+51","1,175,940","+4,300","59,084","206","8,688,108 "
"Sweden","1,198,848","","15,113 ","","1,155,281","+887","28,454","32","10,187,351 "
"Vietnam","1,181,337","+13,109","24,544 ","+137","955,256","+12,368","201,537","5,475","98,563,340 "
"Portugal","1,136,446","+3,205","18,393 ","+8","1,067,173","+1,842","50,880","100","10,155,095 "
"Austria","1,121,134","+12,245","12,284 ","+51","956,488","+12,315","152,362","608","9,078,283 "
"Hungary","1,068,888","+11,871","33,866 ","+162","862,534","+5,083","172,488","695","9,626,018 "
"Switzerland","982,290","+3,955","11,481 ","+6","854,844","+1,690","115,965","179","8,743,145 "
"Kazakhstan","968,340","+971","12,635 ","+13","931,796","+1,284","23,909","528","19,090,692 "
"Cuba","961,884","+186","8,299 ","","952,508","+302","1,077","30","11,316,941 "
"Morocco","949,378","","14,770 ","","931,548","","3,060","347","37,522,185 "
"Jordan","932,539","","11,459 ","","874,583","","46,497","993","10,344,769 "
"Greece","914,824","+6,602","17,779 ","+86","814,181","+3,761","82,864","630","10,351,786 "
"Georgia","831,248","+4,534","11,810 ","+74","772,301","+3,742","47,137","","3,978,450 "
"Nepal","820,527","+242","11,518 ","+2","801,722","+302","7,287","","29,868,922 "
"UAE","741,790","+70","2,145 ","","736,601","+90","3,044","","10,057,458 "
"Tunisia","716,861","","25,357 ","","690,463","","1,041","58","11,991,532 "
"Bulgaria","684,922","","27,891 ","","551,853","","105,178","797","6,875,216 "
"Lebanon","663,779","","8,685 ","","629,896","","25,198","186","6,782,660 "
"Slovakia","651,234","+9,331","14,177 ","+70","532,945","+6,792","104,112","542","5,463,343 "
"Belarus","648,472","+1,729","5,026 ","+16","634,653","+2,183","8,793","","9,444,973 "
"Guatemala","616,554","","15,885 ","","598,773","","1,896","5","18,378,520 "
"Croatia","594,475","+5,460","10,644 ","+75","549,100","+5,607","34,731","325","4,069,826 "
"Azerbaijan","582,504","+1,997","7,767 ","+31","547,354","+2,319","27,383","","10,266,978 "
